decision_date,effective_date,case_track,sector,data_type,docket_opinion,short_label,base_roe_pct,zone_low_pct,zone_high_pct,methodology,notes,source_url
2006-01-01,2006-01-01,NETO,electric_transmission,decision,"Base ROE set in 2006 order (Docket EL04-108 lineage)","2006 order",11.14,,,"Litigated/settlement-based base ROE predating FERC's modern two-step DCF framework","Base ROE in effect for New England Transmission Owners (NETOs) until challenged by a 2011 customer complaint.",https://www.utilitydive.com/news/ferc-lowers-new-england-transmission-roe-to-1057/322984/
2014-06-19,2014-06-19,NETO,electric_transmission,decision,"Opinion No. 531 (Docket EL11-66)","Opinion 531",10.57,,,"Two-step DCF model (short- and long-term growth, 33% weight to long-term GDP growth); ROE set at midpoint of upper half of the DCF zone of reasonableness","Reduced NETO base ROE from 11.14% following the September 2011 FPA Section 206 complaint. Later vacated in part by the D.C. Circuit in Emera Maine v. FERC (2017), which found FERC had not adequately justified the new ROE or its methodology.",https://www.lexology.com/library/detail.aspx?g=9b93d508-9fdc-414b-985b-96ef45ae9ffe
2026-03-19,2014-10-16,NETO,electric_transmission,decision,"Opinion No. 594 (Docket EL11-66, et al.)","Opinion 594",9.57,8.72,10.41,"Two-step DCF model + CAPM composite zone of reasonableness; midpoint used because NETOs found to be of 'average risk'","Issued after ~15 years of litigation across four stacked complaints. Retroactively applied back to October 16, 2014, ordering NETOs to refund ratepayers an estimated $1.5 billion (with interest) by May 20, 2027.",https://www.troutmanenergyreport.com/2026/03/ferc-issues-long-awaited-new-england-roe-order-and-backdates-lower-returns-twelve-years/
2002-01-01,2002-01-01,MISO,electric_transmission,decision,"Pre-complaint settlement baseline (Docket EL14-12 lineage)","2002 settlement",12.38,,,"Negotiated settlement","Base ROE used by most Midcontinent ISO (MISO) transmission owners since 2002, until challenged by a November 2013 FPA Section 206 complaint.",https://www.lawofrenewableenergy.com/2016/10/articles/transmission/miso-transmission-owners-return-on-equity-cut-by-ferc/
2016-09-28,2016-09-28,MISO,electric_transmission,decision,"Order applying Opinion No. 531 framework (Docket EL14-12)","2016 order",10.32,,,"Two-step DCF model, consistent with the Opinion No. 531 methodology developed in the NETO case","First reduction of MISO TOs' base ROE, prompted by the 2013 complaint. Vacated by the D.C. Circuit a year later after it found the same flaws as in the NETO case.",https://www.utilitydive.com/news/ferc-lowers-new-england-transmission-roe-to-1057/322984/
2020-05-21,2016-09-28,MISO,electric_transmission,decision,"Opinion No. 569 / 569-A (Docket EL14-12 / EL15-45)","Opinion 569/569-A",10.02,7.52,12.24,"DCF, CAPM, and risk premium models combined into a composite zone of reasonableness; midpoint used","Reissued after the D.C. Circuit vacated the 2016 MISO order following Emera Maine. Restored the risk premium model to the analysis (on rehearing in Opinion No. 569-A) after initially dropping it.",https://www.dwt.com/blogs/energy--environmental-law-blog/2019/12/ferc-revises-methodology-for-evaluating-base
2024-10-17,2016-09-28,MISO,electric_transmission,decision,"Order on remand (Docket EL14-12 / EL15-45)","2024 remand",9.98,7.39,12.58,"DCF and CAPM only (risk premium model dropped again); composite zone midpoint","Refunds ordered for the Nov 2013-Feb 2015 and Sept 2016-Oct 2024 periods. Upheld by the D.C. Circuit on appeal.",https://www.rtoinsider.com/89798-ferc-sets-miso-tos-roe-eliminates-risk-premium-model/
2017-06-05,2017-06-05,SPP-AEP,electric_transmission,decision,"Baseline formula-rate ROE prior to complaint (AEP's SPP-zone subsidiaries)","Pre-2017 rate",10.70,,,"Formula rate (pre-existing, not litigated)","Base ROE embedded in AEP's four SPP-zone transmission-owning subsidiaries' formula rate before East Texas Electric Cooperative and others filed an FPA Section 206 complaint on June 5, 2017.",https://www.spp.org/documents/61428/20200131_east%20texas%20cooperatives%20stated%20rates%20revisions_er20-928-000.pdf
2019-06-28,2017-06-05,SPP-AEP,electric_transmission,decision,"Settlement Agreement accepted by FERC (ER20-928 lineage)","2019 settlement",10.00,,,"Negotiated settlement following FPA Section 206 complaint","FERC accepted a settlement between AEP and East Texas Electric Cooperative reducing AEP's SPP-zone base ROE from 10.70% to 10.00%, effective June 5, 2017 (the complaint date), with refunds.",https://www.spp.org/documents/61428/20200131_east%20texas%20cooperatives%20stated%20rates%20revisions_er20-928-000.pdf
2020-01-01,,SPP-ALL,electric_transmission,snapshot_range,"Cross-company range, ~14 SPP transmission-owning companies","SPP range (~14 cos.)",,9.72,10.80,"Individual formula rates per company -- SPP has no single RTO-wide base ROE","Per S&P Global Market Intelligence, base ROEs across SPP's transmission owners have been unchanged since the 2020 AEP settlement, ranging from 9.72% (Xcel Energy's PSCo) to 10.80% (Prairie Wind Transmission), excluding incentive adders.",https://www.spglobal.com/market-intelligence/en/news-insights/research/led-by-aep-evergy-transmission-rate-base-growth-in-spp-continues-upward-trend
